GESTION|MES|Departamento|NANDINA|des_nandina|des_Pais|des_Medio_Sal|des_Via_Sal|CUCIR3|GCE|CIIU3|CODACT|TNT|Peso_Bruto_Kg|Peso_Neto_Kg|Valor_FOB_Sus
2018.0|1.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|84412|78471|446435
2018.0|2.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|48058|44831|263136
2018.0|3.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|87845|81769|478434
2018.0|5.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|62414|58332|332144
2018.0|6.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|85491|79750|465085
2018.0|7.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|83976|78253|452039
2018.0|8.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|59876|55890|327625
2018.0|9.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|61025|57554|321220
2018.0|10.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|56494|53619|315225
2018.0|11.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|41746|39638|228312
2018.0|12.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|86500|82172|472319
2018.0|4.0|7.0|0201300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, FRESCA O REFRIGERADA|PERU|CARRETERA|DESAGUADERO|0111|122|1511|D63|34.0|64053|59768|343167
2018.0|4.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|20333|19182|87950
2018.0|12.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|29037|27745|131668
2018.0|11.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|52549|50156|197695
2018.0|10.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|28007|26765|131368
2018.0|9.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|52308|49906|197497
2018.0|8.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|49796|47009|177436
2018.0|7.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|49414|46687|180477
2018.0|6.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|46953|44362|169348
2018.0|5.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|26120|24503|116907
2018.0|3.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|48403|46167|173005
2018.0|2.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|48995|46402|177578
2018.0|1.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|CARRETERA|DESAGUADERO|0112|122|1511|D63|34.0|24679|23509|74312
2018.0|11.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0112|122|1511|D63|34.0|14726|14159|45841
2018.0|12.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0112|122|1511|D63|34.0|24315|22987|72268
2018.0|8.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|BRASIL.|AEREA|AEREA|0112|122|1511|D63|34.0|41|31|170
2018.0|8.0|7.0|0202300000|CARNE DESHUESADA DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA|PERU|AEREA|AEREA|0112|122|1511|D63|34.0|6|3|6
2018.0|11.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|29758|28439|61598
2018.0|8.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|25138|23501|65262
2018.0|9.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|24598|23500|58305
2018.0|2.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|25033|23400|60382
2018.0|3.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|25103|23501|67358
2018.0|4.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|25239|23500|63830
2018.0|5.0|7.0|0206290000|LOS DEMAS DESPOJOS COMESTIBLES DE ANIMALES DE LA ESPECIE BOVINA, CONGELADOS|VIET-NAM|CARRETERA|ARICA - CHARANA - TAMBO QUEMADO|0125|122|1511|D6|34.0|25321|23502|74689
2018.0|1.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|48160|48000|62400
2018.0|2.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|48160|48000|62400
2018.0|3.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|48160|48000|62400
2018.0|5.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|60200|60000|78000
2018.0|6.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|48160|48000|62400
2018.0|6.0|7.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|15864|15501|23296
2018.0|7.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|60200|60000|78000
2018.0|8.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|48160|48000|62400
2018.0|9.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|36120|36000|46800
2018.0|10.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|48160|48000|62400
2018.0|11.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|56180|56000|72806
2018.0|12.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|60200|60000|78000
2018.0|4.0|3.0|0207120000|CARNE Y DESPOJOS COMESTIBLES DE GALLOS O GALLINA SIN TROCEAR, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|60200|60000|78000
2018.0|11.0|3.0|0207140000|TROZOS Y DESPOJOS DE GALLOS O GALLINA, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|20458|20000|51000
2018.0|6.0|3.0|0207140000|TROZOS Y DESPOJOS DE GALLOS O GALLINA, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|20458|19925|45495
2018.0|6.0|7.0|0207140000|TROZOS Y DESPOJOS DE GALLOS O GALLINA, CONGELADOS|PERU|CARRETERA|DESAGUADERO|0123|122|1511|D6|34.0|431|420|543
