GESTION|MES|Departamento|NANDINA|des_nandina|des_Pais|des_Medio_Sal|des_Via_Sal|CUCIR3|GCE|CIIU3|CODACT|TNT|Peso_Bruto_Kg|Peso_Neto_Kg|Valor_FOB_Sus
2021|2|3|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|PUERTO RICO|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|28822531|28822531|8752519
2021|8|3|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|SINGAPUR|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|18207771|18207771|6542971
2021|8|7|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|SINGAPUR|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|13320409|13320409|4786695
2021|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|ALEMANIA|AEREA|AEREA|0711|111|0113|A2|10|503|420|13889
2021|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|CHINA|AEREA|AEREA|0711|111|0113|A2|10|1450|1440|27205
2021|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|JAPON|AEREA|AEREA|0711|111|0113|A2|10|15|15|51
2021|1|3|1209290000|LAS DEMAS SEMILLAS FORRAJERAS,EXCEPTO LAS DE REMOLACHA,PARA SIEMBRA|GUATEMALA|AEREA|AEREA|2925|210|0111|A11|34|2128|2100|6500
2021|1|8|1515900090|LAS DEMAS GRASAS Y ACEITES VEGETALES FIJOS (INCLUIDO EL ACEITE DE JOJOBA), Y SUS FRACCIONES, INCLUSO REFINADOS, PERO SIN MODIFICAR QUIMICAMENTE. |REPUBLICA CHECA|AEREA|AEREA|4229|220|1514|D6|34|265|228|218
2021|1|2|1801001900|EL DEMAS CACAO EN GRANO ENTERO CRUDO|JAPON|AEREA|AEREA|0721|111|0113|A3|11|110|102|423
2021|1|6|2208202200|SINGANI|ESTADOS UNIDOS|AEREA|AEREA|1124|122|1551|D3|13|43|27|36
2021|1|2|2621900000|LAS DEMAS ESCORIAS Y CENIZAS, INCLUIDAS LAS CENIZAS DE ALGAS|ESTADOS UNIDOS|AEREA|AEREA|2786|210|1429|C11|30|3268|3268|3266
2021|1|2|3004902900|LOS DEMAS MEDICAMENTOS PARA USO HUMANO|PERU|AEREA|AEREA|5429|630|2423|D29|34|241|201|18338
2021|1|3|3603001000|MECHAS DE SEGURIDAD|ESPAÑA|AEREA|AEREA|5932|220|2429|D16|34|2226|2058|48359
2021|1|2|3810101000|PREPARACIONES PARA EL DECAPADO DEL METAL|COLOMBIA|AEREA|AEREA|5989|220|2429|D16|34|48|22|460
2021|1|2|4112000000|CUEROS PREPARADOS DESPUES DEL CURTIDO O SECADO Y CUEROS Y PIELES APERGAMINADOS, DE OVINO, DEPILADOS, INCLUSO DIVIDIDOS, EXCEPTO LOS DE LA PARTIDA 41.14.|ARGENTINA|AEREA|AEREA|6115|220|1911|D10|15|445|430|26530
2021|1|2|4202210000|BOLSOS DE MANO (CARTERAS),INCLUSO CON BANDOLERA O SIN ASAS,CON LA SUPERFICIE EXTERIOR DE CUERO NATURAL,CUERO REGENERADO O CUERO CHAROLADO|CHINA|AEREA|AEREA|8311|620|1912|D10|15|96|70|1400
2021|1|2|4202220000|BOLSOS DE MANO (CARTERAS),INCLUSO CON BANDOLERA O SIN ASAS,CON LA SUPERFICIE EXTERIOR DE HOJAS DE PLASTICO O MATERIA TEXTIL|DINAMARCA|AEREA|AEREA|8311|620|1912|D10|15|0|0|176
2021|1|2|4202310000|ARTICULOS DE BOLSILLO O DE BOLSOS DE MANO,CON LA SUPERFICIE EXTERIOR DE CUERO NATURAL,CUERO REGENERADO O CUERO CHAROLADO|CHINA|AEREA|AEREA|8319|620|1912|D10|15|306|299|4260
