GESTION|MES|Departamento|NANDINA|des_nandina|des_Pais|des_Medio_Sal|des_Via_Sal|CUCIR3|GCE|CIIU3|CODACT|TNT|Peso_Bruto_Kg|Peso_Neto_Kg|Valor_FOB_Sus
2023|3|3|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|PAISES BAJOS|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|18514196|18514196|5934538
2023|4|3|2709000000|ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO|PAISES BAJOS|DUCTOS|CHARAÑA - ARICA                                   |3330|310|1110|C2|31|15333712|15333712|4878850
2023|1|2|0901900000|LOS DEMAS,SUCEDANEOS DEL CAFE QUE CONTENGAN CAFE EN CUALQUIER PROPORCION|ESTADOS UNIDOS|AEREA|AEREA|0711|111|0113|A11|34|110|100|8818
2023|1|2|1212991000|CAÑA DE AZUCAR|BRASIL.|AEREA|AEREA|0548|111|1513|A11|34|1311|1248|38301
2023|1|2|1805000000|CACAO EN POLVO SIN ADICION DE AZUCAR U OTRO EDULCORANTE|CHILE|AEREA|AEREA|0722|121|1543|D1|11|785|750|3375
2023|1|2|1806320000|LOS DEMAS CHOCOLATES Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO SIN RELLENAR EN BLOQUES,EN TABLETAS,O EN BARRAS|JAPON|AEREA|AEREA|0733|122|1543|D1|11|598|502|10720
2023|1|3|2104102000|SOPAS,POTAJES O CALDOS,PREPARADOS|ESTADOS UNIDOS|AEREA|AEREA|0985|122|1549|D6|34|73|63|259
2023|1|3|2106909000|LAS DEMAS PREPARACIONES ALIMENTICIAS NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE|ESTADOS UNIDOS|AEREA|AEREA|0989|122|1549|D6|34|23|21|77
2023|1|3|3603100000|MECHAS DE SEGURIDAD|MEXICO|AEREA|AEREA|5932|220|2429|D16|34|11760|11200|136900
2023|1|2|3907299000|LOS DEMAS POLIETERES|CHILE|AEREA|AEREA|5741|220|2413|D16|34|3|3|4
2023|1|2|3907299000|LOS DEMAS POLIETERES|PARAGUAY|AEREA|AEREA|5741|220|2413|D16|34|4|3|4
2023|1|2|3907500000|RESINAS ALCIDICAS|CHILE|AEREA|AEREA|5743|220|2413|D16|34|10|8|12
2023|1|2|3907500000|RESINAS ALCIDICAS|PARAGUAY|AEREA|AEREA|5743|220|2413|D16|34|4|3|6
2023|1|6|3907500000|RESINAS ALCIDICAS|URUGUAY|AEREA|AEREA|5743|220|2413|D16|34|39|34|34
2023|1|2|4112000000|CUEROS PREPARADOS DESPUES DEL CURTIDO O SECADO Y CUEROS Y PIELES APERGAMINADOS, DE OVINO, DEPILADOS, INCLUSO DIVIDIDOS, EXCEPTO LOS DE LA PARTIDA 41.14.|ARGENTINA|AEREA|AEREA|6115|220|1911|D10|15|782|757|48475
