GESTION|MES|Departamento|NANDINA|des_nandina|des_Pais|des_Medio_Sal|des_Via_Sal|CUCIR3|GCE|CIIU3|CODACT|TNT|Peso_Bruto_Kg|Peso_Neto_Kg|Valor_FOB_Sus
2022|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|AUSTRALIA|AEREA|AEREA|0711|111|0113|A2|10|261|240|12502
2022|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|MALASIA|AEREA|AEREA|0711|111|0113|A2|10|431|414|11095
2022|1|2|0901119000|LOS DEMAS CAFES SIN TOSTAR SIN DESCAFEINAR|PAISES BAJOS|AEREA|AEREA|0711|111|0113|A2|10|1342|1300|12768
2022|1|3|1211909090|LAS DEMAS PLANTAS PARTES DE PLANTAS SEMILLAS Y FRUTOS DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN PERFUMERÍA MEDICINA O PARA USOS INSECTICIDAS PARASITICIDAS O SIMILARES FRESCOS REFRIGERADOS CONGELADO|ITALIA|AEREA|AEREA|2924|210|0111|A11|34|668|257|4566
2022|1|2|1806320000|LOS DEMAS CHOCOLATES Y PREPARACIONES ALIMENTICIAS QUE CONTENGAN CACAO SIN RELLENAR EN BLOQUES,EN TABLETAS,O EN BARRAS|JAPON|AEREA|AEREA|0733|122|1543|D1|11|368|310|5397
2022|1|2|2106901000|LOS DEMAS POLVOS PARA LA PREPARACION DE BUDINES,CREMAS,HELADOS,POSTRES,GELATINAS Y SIMILARES|JAPON|AEREA|AEREA|0989|122|1549|D6|34|7|6|46
2022|1|6|2204299000|LOS DEMAS VINOS,MOSTO DE UVA EN LOS QUE LA FERMENTACION SE HA IMPEDIDO O CORTADO AÑADIENDO ALCOHOL|JAPON|AEREA|AEREA|1121|122|1552|D3|13|3|2|19
2022|1|6|2208202200|SINGANI|JAPON|AEREA|AEREA|1124|122|1551|D3|13|42|32|258
2022|1|2|2530900000|LAS DEMAS MATERIAS MINERALES NO EXPRESADAS NI COMPRENDIDAS EN OTRAS PARTIDAS|ESTADOS UNIDOS|AEREA|AEREA|2785|210|1421|C11|30|187|163|1400
2022|1|2|4112000000|CUEROS PREPARADOS DESPUES DEL CURTIDO O SECADO Y CUEROS Y PIELES APERGAMINADOS, DE OVINO, DEPILADOS, INCLUSO DIVIDIDOS, EXCEPTO LOS DE LA PARTIDA 41.14.|ARGENTINA|AEREA|AEREA|6115|220|1911|D10|15|1231|1185|98111
